What is <code>=</code> operator called in Elixir?	"It's <em>match</em> operator, it's used in pattern matching."	
What is the use of underscore (<code>_</code>) in pattern matching?	<code>_</code> acts like a wildcard, i.e. it accepts anything.	
What is the purpose of the pin operator (<code>^</code>)?	Variables in Elixir can be rebound. By using <code>^</code> operator, user can prevent the pattern matching from assigning value and force the matching operation. For example:<br><pre>n = 1<br>n = 2    # Ok<br>^n = 3   # MatchError<br></pre>	
"List & explain Elixir's system types."	<ul><br>  <li>PIDs</li><br>  <li>Ports</li><br>  <li>References</li><br></ul>	
"What's Elixir's anonymous function format?"	<pre>fn<br>  parameter_list -&gt; body<br>  parameter_list -&gt; body<br>end</pre>	
What is the string concatenation operator in Elixir?	<code><></code> because strings are just binaries.	
How to use variable substitution within a string?	"<pre>""Hello, #{name}""</pre>"	
What is the use of <code>&(...)</code> syntax?	<code>&amp;(...)</code> is a shortcut  for creating anonymous functions. Inside that expression, the placeholders <code>&amp;1</code>, <code>&amp;2</code> and so on correspond to the first, second and subsequent parameters of the function. For example:<pre>&amp;((&amp;1 + &amp;3) * &amp;2)</pre><br> 	
How do you call anonymous functions?	Using a dot operator, e.g.:<pre>foo.(1, 2, 3)</pre>	
<div>What are guard clauses?</div><div><br></div>	Guard clauses are a way to augment pattern matching with more complex checks. They are allowed in a predefined set of constructs where pattern matching is allowed. They are predicates, which are used to conditionally invoke function clauses.<br><br>Not all expressions are allowed in guard clauses, but only a handful of them. This is a deliberate choice. This way, Elixir (and Erlang) can make sure that nothing bad happens while executing guards and no mutations happen anywhere. It also allows the compiler to optimize the code related to guards efficiently.<pre>defmodule Factorial do<br>  def of(0), do: 1<br>  def of(n) when n &gt; 0 do<br>    n * of(n-1)<br>  end<br>end</pre>	
How to define default values for function parameters in Elixir?	Using the <code>//</code>, for example:<pre>def foo(x, y // 7) do<br>  ...<br>end</pre>	
How do you import a specific function in a module?	Using the <code>only</code> option with <code>import</code>. For example:<pre>import List, only: [flatten: 1]</pre><br>This will import only the <code>flatten</code> method of the <code>List</code> module. The full syntax of <code>import</code> is: <pre>import Module [, only:|except: ] list_of_functions</pre>	
"What is the <code>alias</code> directive's syntax?"	<pre>alias module_name, as: shortname</pre>	
How do you call an Erlang function from Elixir?	Using the following syntax:<pre>:module.function()</pre>For example:<pre>:erlang.system_info(:process_count)</pre>	
What are the uses of module attributes?	"<ul><br><li>As annotations to instruct compiler - <code>@moduledoc</code> and <code>@doc</code> attributes can be used to provide documentation:<pre>defmodule Math do <br>    @moduledoc """""" <br>        Provides math-related functions.<br>        ## Examples<br>        iex&gt; Math.sum(1, 2)<br>        3 <br>      """"""  <br>     @doc """"""<br>     Calculates the sum of two numbers.<br>     """"""<br>     def sum(a, b), do: a + b end<br>end</pre></li><br><li>As constants:<pre>defmodule MyServer do<br>   @initial_state %{host: ""127.0.0.1"", port: 3456}<br>   IO.inspect @initial_state <br>end</pre><br></li><li>As temporary storage:<pre>defmodule MyPlug do<br>   use Plug.Builder<br>   plug :set_header<br>   plug :send_ok<br>   def set_header(conn, _opts) do <br>      put_resp_header(conn, ""x-header"", ""set"")<br>   end<br>   def send_ok(conn, _opts) do<br>      send(conn, 200, ""ok"")<br>   end<br>end<br>IO.puts ""Running MyPlug with Cowboy on http://localhost:4000""<br>Plug.Adapters.Cowboy.http MyPlug, []</pre>In the example above, we have used the <code>plug/1</code> macro to connect functions that will be invoked when there is a web request. Internally, every time you call <code>plug/1</code>, the Plug library stores the given argument in a <code>@plugs</code> attribute. Just before the module is compiled, Plug runs a callback that defines a function (<code>call/2</code>) which handles HTTP requests. This function will run all plugs inside <code>@plugs</code> in order.<br></li><br></ul>"	
How do you print documentation a function in <code>iex</code>?	Using the <code>h/1</code>, e.g.:<pre>h IO.inspect</pre>	
"What is ""With"" expression syntax?"	with expression1,<div>&nbsp; &nbsp; &nbsp; &nbsp;expression2</div><div>&nbsp; &nbsp; &nbsp; &nbsp;.</div><div>&nbsp; &nbsp; &nbsp; &nbsp;.</div><div>&nbsp; &nbsp; &nbsp; &nbsp;expressionn</div><div>do</div><div>&nbsp; &nbsp; &nbsp; statement</div><div>else</div><div>&nbsp; &nbsp; &nbsp;statement</div><div>end</div><div><br></div><div>where expression can be one of the following format:</div><div>&nbsp; 1. a &lt;- function_call</div><div>&nbsp; 2. a = function_call</div>	
What is <code>&</code> operator called? And what are the two uses?	"<code>&</code> can turn a function into an anonymous functions which can be passed as arguments to other function or be bound to a variable:<pre>speak = &(IO.puts/1)<br>speak.(""hello"")</pre>Alternatively, it can be used a shorthand operator to create anonymous functions:<pre>add_one = &(&1 + 1)<br>add_one.(1)</pre> which is same as <code>add_one = fn x -> x + 1 end</code>."	
