"<p>What is <em>m:n</em> threading?</p>
"	"<p>In <em>m:n</em> threading, <em>n</em> OS threads execute <em>m</em> microthreads (Erlang processes). In other words, BEAM maps some <em>n</em> number of OS threads onto some <em>m</em> number of BEAM processes.</p>
"	
"<p>Which transportation layers Phoenix uses for it's Channels and LiveView?</p>
"	"<p>Websockets and long polling.</p>
"	
"<p>How to export all functions at once from an Erlang module?</p>
"	"<p><code>-compile(export_all).</code></p>
"	
"<p>How to check current BEAM memory usage?</p>
"	"<p><code>:erlang.memory()</code></p>
"	
"<p>How do you retrieve the stored value for an Agent?</p>
"	"<p>Agent.get(fn value -&gt; value end)</p>
"	
"<p>What will <code>catch exit(err)</code> return?</p>
"	"<p><code>{'EXIT', err}</code></p>
"	
"<p>When ETS can be useful?</p>
"	"<p>Typical situations where ETS tables can be useful are shared key/value structures and counters. Although these scenarios can also be implemented with GenServer, such solutions might lead to performance and scalability issues.</p>
"	
"<p>Explain four main Ecto's components.</p>
"	"<p>Ecto is split into 4 main components:<br />
<br />
Ecto.Repo - repositories are wrappers around the data store. Via the repository, we can create, update, destroy and query existing entries. A repository needs an adapter and credentials to communicate to the database<br />
<br />
Ecto.Schema - schemas are used to map external data into Elixir structs. We often use them to map database tables to Elixir data but they have many other use cases<br />
<br />
Ecto.Query - written in Elixir syntax, queries are used to retrieve information from a given repository. Ecto queries are secure and composable<br />
<br />
Ecto.Changeset - changesets provide a way for track and validate changes before they are applied to the data<br />
<br />
In summary:<br />
<br />
Ecto.Repo - where the data is<br />
Ecto.Schema - what the data is<br />
Ecto.Query - how to read the data<br />
Ecto.Changeset - how to change the data</p>
"	
"<p>What is the output of the following code?</p>
<div class=""sourceCode"" id=""cb1""><pre class=""sourceCode elixir""><code class=""sourceCode elixir""><span id=""cb1-1""><a href=""#cb1-1"" aria-hidden=""true""></a>spawn(<span class=""kw"">fn</span> <span class=""op"">-&gt;</span></span>
<span id=""cb1-2""><a href=""#cb1-2"" aria-hidden=""true""></a>  spawn_link(<span class=""kw"">fn</span> <span class=""op"">-&gt;</span></span>
<span id=""cb1-3""><a href=""#cb1-3"" aria-hidden=""true""></a>    <span class=""cn"">Process</span><span class=""op"">.</span>sleep(<span class=""dv"">1000</span>)</span>
<span id=""cb1-4""><a href=""#cb1-4"" aria-hidden=""true""></a>    <span class=""cn"">IO</span><span class=""op"">.</span>puts(<span class=""st"">&quot;Process 2 finished&quot;</span>)</span>
<span id=""cb1-5""><a href=""#cb1-5"" aria-hidden=""true""></a>  <span class=""kw"">end</span>)</span>
<span id=""cb1-6""><a href=""#cb1-6"" aria-hidden=""true""></a>  <span class=""cf"">raise</span>(<span class=""st"">&quot;Something went wrong in Process 1&quot;</span>)</span>
<span id=""cb1-7""><a href=""#cb1-7"" aria-hidden=""true""></a><span class=""kw"">end</span>)</span></code></pre></div>
<h3 id=""answer"">Answer</h3>
<p>Something like:</p>
<pre><code>#PID&lt;0.140.0&gt; 15:00:40.443 [error] Process #PID&lt;0.140.0&gt; raised an exception **
(RuntimeError) Something went wrong in Process 1 (stdlib) erl_eval.erl:678: :erl_eval.do_apply/6</code></pre>
<p><code>spawn_link/1</code> connects exactly two processes and is always bidirectional. Even though process 2 is sleeping, because process 1 terminated abnormally, which caused an exit signal emitted to process 2; As a result process 2 exits as well.</p>
"	"<p>exercise</p>
"	
"<p>What is Ecto?</p>
"	"<p>Ecto is the database wrapper and query generator for Elixir. Ecto provides a standardized API and a set of abstractions for talking to all the different kinds of databases, so that Elixir developers can query whatever database they're using by employing similar constructs.</p>
"	
